"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"SP140","HAVANA","gene",NA,NA,"ENSG00000079263.14","protein_coding","SP140","1","OTTHUMG00000153670.7",NA,"ENSG00000079263",NA
"CEACAM1","HAVANA","gene",NA,NA,"ENSG00000079385.17","protein_coding","CEACAM1","2","OTTHUMG00000151078.4",NA,"ENSG00000079385",NA
"MOXD1","HAVANA","gene",NA,NA,"ENSG00000079931.10","protein_coding","MOXD1","1","OTTHUMG00000055853.4",NA,"ENSG00000079931",NA
"STX7","HAVANA","gene",NA,NA,"ENSG00000079950.9","protein_coding","STX7","2","OTTHUMG00000015577.2",NA,"ENSG00000079950",NA
"DCT","HAVANA","gene",NA,NA,"ENSG00000080166.11","protein_coding","DCT","2","OTTHUMG00000017206.6","ncRNA_host","ENSG00000080166",NA
"COL5A3","HAVANA","gene",NA,NA,"ENSG00000080573.6","protein_coding","COL5A3","2","OTTHUMG00000150019.1",NA,"ENSG00000080573",NA
"NDC80","HAVANA","gene",NA,NA,"ENSG00000080986.8","protein_coding","NDC80","1","OTTHUMG00000131483.3",NA,"ENSG00000080986",NA
"CXCL2","HAVANA","gene",NA,NA,"ENSG00000081041.8","protein_coding","CXCL2","2","OTTHUMG00000160865.2",NA,"ENSG00000081041",NA
"ARG2","HAVANA","gene",NA,NA,"ENSG00000081181.3","protein_coding","ARG2","2","OTTHUMG00000171807.2",NA,"ENSG00000081181",NA
"PTPRC","HAVANA","gene",NA,NA,"ENSG00000081237.14","protein_coding","PTPRC","2","OTTHUMG00000035702.7",NA,"ENSG00000081237",NA
"STK17B","HAVANA","gene",NA,NA,"ENSG00000081320.6","protein_coding","STK17B","2","OTTHUMG00000132735.4",NA,"ENSG00000081320",NA
"IL12RB2","HAVANA","gene",NA,NA,"ENSG00000081985.6","protein_coding","IL12RB2","2","OTTHUMG00000009094.2",NA,"ENSG00000081985",NA
"STRADB","HAVANA","gene",NA,NA,"ENSG00000082146.8","protein_coding","STRADB","2","OTTHUMG00000132831.5","ncRNA_host","ENSG00000082146",NA
"C1QTNF3","HAVANA","gene",NA,NA,"ENSG00000082196.16","protein_coding","C1QTNF3","2","OTTHUMG00000090735.5",NA,"ENSG00000082196",NA
"ITGB5","HAVANA","gene",NA,NA,"ENSG00000082781.7","protein_coding","ITGB5","1","OTTHUMG00000159432.8",NA,"ENSG00000082781",NA
"PLOD1","HAVANA","gene",NA,NA,"ENSG00000083444.12","protein_coding","PLOD1","2","OTTHUMG00000002393.3",NA,"ENSG00000083444",NA
"EPYC","HAVANA","gene",NA,NA,"ENSG00000083782.3","protein_coding","EPYC","2","OTTHUMG00000170072.2",NA,"ENSG00000083782",NA
"CYLD","HAVANA","gene",NA,NA,"ENSG00000083799.13","protein_coding","CYLD","1","OTTHUMG00000173404.3","ncRNA_host","ENSG00000083799",NA
"COL16A1","HAVANA","gene",NA,NA,"ENSG00000084636.13","protein_coding","COL16A1","2","OTTHUMG00000003883.9",NA,"ENSG00000084636",NA
"KIF3C","HAVANA","gene",NA,NA,"ENSG00000084731.9","protein_coding","KIF3C","1","OTTHUMG00000094797.2",NA,"ENSG00000084731",NA
"HADHA","HAVANA","gene",NA,NA,"ENSG00000084754.6","protein_coding","HADHA","2","OTTHUMG00000096979.3",NA,"ENSG00000084754",NA
"CD59","HAVANA","gene",NA,NA,"ENSG00000085063.10","protein_coding","CD59","1","OTTHUMG00000166270.2",NA,"ENSG00000085063",NA
"FCN1","HAVANA","gene",NA,NA,"ENSG00000085265.6","protein_coding","FCN1","2","OTTHUMG00000020895.1",NA,"ENSG00000085265",NA
"MECOM","HAVANA","gene",NA,NA,"ENSG00000085276.13","protein_coding","MECOM","1","OTTHUMG00000158596.6",NA,"ENSG00000085276",NA
"SNX10","HAVANA","gene",NA,NA,"ENSG00000086300.11","protein_coding","SNX10","2","OTTHUMG00000023650.4",NA,"ENSG00000086300",NA
"CEACAM6","HAVANA","gene",NA,NA,"ENSG00000086548.8","protein_coding","CEACAM6","2","OTTHUMG00000151064.2",NA,"ENSG00000086548",NA
"LAT2","HAVANA","gene",NA,NA,"ENSG00000086730.12","protein_coding","LAT2","2","OTTHUMG00000130151.8",NA,"ENSG00000086730",NA
"NOX4","HAVANA","gene",NA,NA,"ENSG00000086991.8","protein_coding","NOX4","2","OTTHUMG00000167298.1",NA,"ENSG00000086991",NA
"ACOX3","HAVANA","gene",NA,NA,"ENSG00000087008.11","protein_coding","ACOX3","2","OTTHUMG00000090509.20",NA,"ENSG00000087008",NA
"ACHE","HAVANA","gene",NA,NA,"ENSG00000087085.9","protein_coding","ACHE","2","OTTHUMG00000157033.1",NA,"ENSG00000087085",NA
"FTL","HAVANA","gene",NA,NA,"ENSG00000087086.9","protein_coding","FTL","2","OTTHUMG00000183332.1",NA,"ENSG00000087086",NA
"ADAMTS2","HAVANA","gene",NA,NA,"ENSG00000087116.9","protein_coding","ADAMTS2","2","OTTHUMG00000130915.3",NA,"ENSG00000087116",NA
"TMPRSS11E","HAVANA","gene",NA,NA,"ENSG00000087128.5","protein_coding","TMPRSS11E","2","OTTHUMG00000160438.1",NA,"ENSG00000087128",NA
"MMP2","HAVANA","gene",NA,NA,"ENSG00000087245.8","protein_coding","MMP2","1","OTTHUMG00000133202.4",NA,"ENSG00000087245",NA
"MT3","HAVANA","gene",NA,NA,"ENSG00000087250.4","protein_coding","MT3","2","OTTHUMG00000133282.3",NA,"ENSG00000087250",NA
"NID2","HAVANA","gene",NA,NA,"ENSG00000087303.12","protein_coding","NID2","2","OTTHUMG00000140298.2",NA,"ENSG00000087303",NA
"PTHLH","HAVANA","gene",NA,NA,"ENSG00000087494.11","protein_coding","PTHLH","2","OTTHUMG00000169221.1",NA,"ENSG00000087494",NA
"AURKA","HAVANA","gene",NA,NA,"ENSG00000087586.13","protein_coding","AURKA","2","OTTHUMG00000032796.6",NA,"ENSG00000087586",NA
"PIR","HAVANA","gene",NA,NA,"ENSG00000087842.6","protein_coding","PIR","2","OTTHUMG00000021176.1",NA,"ENSG00000087842",NA
"TPX2","HAVANA","gene",NA,NA,"ENSG00000088325.11","protein_coding","TPX2","2","OTTHUMG00000032190.2",NA,"ENSG00000088325",NA
"DOCK9","HAVANA","gene",NA,NA,"ENSG00000088387.13","protein_coding","DOCK9","2","OTTHUMG00000017260.3",NA,"ENSG00000088387",NA
"SIGLEC1","HAVANA","gene",NA,NA,"ENSG00000088827.8","protein_coding","SIGLEC1","2","OTTHUMG00000031757.2",NA,"ENSG00000088827",NA
"CPXM1","HAVANA","gene",NA,NA,"ENSG00000088882.7","protein_coding","CPXM1","2","OTTHUMG00000031706.2",NA,"ENSG00000088882",NA
"F11","HAVANA","gene",NA,NA,"ENSG00000088926.9","protein_coding","F11","1","OTTHUMG00000150311.7",NA,"ENSG00000088926",NA
"CHGB","HAVANA","gene",NA,NA,"ENSG00000089199.5","protein_coding","CHGB","2","OTTHUMG00000031821.2",NA,"ENSG00000089199",NA
"FXYD3","HAVANA","gene",NA,NA,"ENSG00000089356.12","protein_coding","FXYD3","2","OTTHUMG00000184625.2",NA,"ENSG00000089356",NA
"GMIP","HAVANA","gene",NA,NA,"ENSG00000089639.6","protein_coding","GMIP","2","OTTHUMG00000182329.1",NA,"ENSG00000089639",NA
"BIRC5","HAVANA","gene",NA,NA,"ENSG00000089685.10","protein_coding","BIRC5","2","OTTHUMG00000177505.7",NA,"ENSG00000089685",NA
"LAG3","HAVANA","gene",NA,NA,"ENSG00000089692.4","protein_coding","LAG3","2","OTTHUMG00000169197.1",NA,"ENSG00000089692",NA
"ARHGAP4","HAVANA","gene",NA,NA,"ENSG00000089820.11","protein_coding","ARHGAP4","2","OTTHUMG00000024226.46",NA,"ENSG00000089820",NA
"RGS1","HAVANA","gene",NA,NA,"ENSG00000090104.7","protein_coding","RGS1","2","OTTHUMG00000035598.3",NA,"ENSG00000090104",NA
"LYZ","HAVANA","gene",NA,NA,"ENSG00000090382.2","protein_coding","LYZ","1","OTTHUMG00000169342.2",NA,"ENSG00000090382",NA
"FLT3LG","HAVANA","gene",NA,NA,"ENSG00000090554.8","protein_coding","FLT3LG","2","OTTHUMG00000186490.1",NA,"ENSG00000090554",NA
"DLL3","HAVANA","gene",NA,NA,"ENSG00000090932.6","protein_coding","DLL3","2","OTTHUMG00000183067.1",NA,"ENSG00000090932",NA
"NLRC4","HAVANA","gene",NA,NA,"ENSG00000091106.14","protein_coding","NLRC4","2","OTTHUMG00000152107.2",NA,"ENSG00000091106",NA
"NRCAM","HAVANA","gene",NA,NA,"ENSG00000091129.15","protein_coding","NRCAM","1","OTTHUMG00000154973.8",NA,"ENSG00000091129",NA
"SLC26A4","HAVANA","gene",NA,NA,"ENSG00000091137.7","protein_coding","SLC26A4","2","OTTHUMG00000154807.2",NA,"ENSG00000091137",NA
"SEL1L3","HAVANA","gene",NA,NA,"ENSG00000091490.6","protein_coding","SEL1L3","1","OTTHUMG00000160331.2",NA,"ENSG00000091490",NA
"TF","HAVANA","gene",NA,NA,"ENSG00000091513.10","protein_coding","TF","1","OTTHUMG00000150356.2",NA,"ENSG00000091513",NA
"ESR1","HAVANA","gene",NA,NA,"ENSG00000091831.17","protein_coding","ESR1","2","OTTHUMG00000016103.4",NA,"ENSG00000091831",NA
"ANGPT2","HAVANA","gene",NA,NA,"ENSG00000091879.9","protein_coding","ANGPT2","2","OTTHUMG00000090365.2",NA,"ENSG00000091879",NA
"PSME1","HAVANA","gene",NA,NA,"ENSG00000092010.10","protein_coding","PSME1","2","OTTHUMG00000028795.3",NA,"ENSG00000092010",NA
"SEMA6A","HAVANA","gene",NA,NA,"ENSG00000092421.12","protein_coding","SEMA6A","2","OTTHUMG00000162987.4",NA,"ENSG00000092421",NA
"CAPN3","HAVANA","gene",NA,NA,"ENSG00000092529.18","protein_coding","CAPN3","1","OTTHUMG00000130619.6",NA,"ENSG00000092529",NA
"COL9A3","HAVANA","gene",NA,NA,"ENSG00000092758.11","protein_coding","COL9A3","2","OTTHUMG00000032938.4",NA,"ENSG00000092758",NA
"TGFB2","HAVANA","gene",NA,NA,"ENSG00000092969.7","protein_coding","TGFB2","2","OTTHUMG00000039521.2",NA,"ENSG00000092969",NA
"CDC6","HAVANA","gene",NA,NA,"ENSG00000094804.5","protein_coding","CDC6","2","OTTHUMG00000133324.2",NA,"ENSG00000094804",NA
"FMO2","HAVANA","gene",NA,NA,"ENSG00000094963.9","protein_coding","FMO2","2","OTTHUMG00000035504.4",NA,"ENSG00000094963",NA
"PTGS1","HAVANA","gene",NA,NA,"ENSG00000095303.10","protein_coding","PTGS1","2","OTTHUMG00000020605.1",NA,"ENSG00000095303",NA
"CRAT","HAVANA","gene",NA,NA,"ENSG00000095321.12","protein_coding","CRAT","1","OTTHUMG00000147343.5","ncRNA_host","ENSG00000095321",NA
"SEMA4G","HAVANA","gene",NA,NA,"ENSG00000095539.11","protein_coding","SEMA4G","2","OTTHUMG00000018922.2","ncRNA_host","ENSG00000095539",NA
"SORBS1","HAVANA","gene",NA,NA,"ENSG00000095637.16","protein_coding","SORBS1","2","OTTHUMG00000018812.6",NA,"ENSG00000095637",NA
"IL11","HAVANA","gene",NA,NA,"ENSG00000095752.2","protein_coding","IL11","2","OTTHUMG00000180789.1",NA,"ENSG00000095752",NA
"MLN","HAVANA","gene",NA,NA,"ENSG00000096395.6","protein_coding","MLN","2","OTTHUMG00000014536.4",NA,"ENSG00000096395",NA
"DSP","HAVANA","gene",NA,NA,"ENSG00000096696.9","protein_coding","DSP","2","OTTHUMG00000014212.3",NA,"ENSG00000096696",NA
"IL12RB1","HAVANA","gene",NA,NA,"ENSG00000096996.11","protein_coding","IL12RB1","2","OTTHUMG00000183417.7",NA,"ENSG00000096996",NA
"PCSK5","HAVANA","gene",NA,NA,"ENSG00000099139.9","protein_coding","PCSK5","2","OTTHUMG00000020039.2","ncRNA_host","ENSG00000099139",NA
"SCD","HAVANA","gene",NA,NA,"ENSG00000099194.5","protein_coding","SCD","2","OTTHUMG00000018906.2",NA,"ENSG00000099194",NA
"NRP1","HAVANA","gene",NA,NA,"ENSG00000099250.13","protein_coding","NRP1","2","OTTHUMG00000019343.4","ncRNA_host","ENSG00000099250",NA
"TIMM13","HAVANA","gene",NA,NA,"ENSG00000099800.3","protein_coding","TIMM13","2","OTTHUMG00000180432.2",NA,"ENSG00000099800",NA
"MMP11","HAVANA","gene",NA,NA,"ENSG00000099953.5","protein_coding","MMP11","2","OTTHUMG00000150742.2",NA,"ENSG00000099953",NA
"GGT5","HAVANA","gene",NA,NA,"ENSG00000099998.13","protein_coding","GGT5","2","OTTHUMG00000150796.1",NA,"ENSG00000099998",NA
"GGT1","HAVANA","gene",NA,NA,"ENSG00000100031.14","protein_coding","GGT1","2","OTTHUMG00000030859.31",NA,"ENSG00000100031",NA
"LGALS2","HAVANA","gene",NA,NA,"ENSG00000100079.5","protein_coding","LGALS2","2","OTTHUMG00000150590.20",NA,"ENSG00000100079",NA
"LGALS1","HAVANA","gene",NA,NA,"ENSG00000100097.7","protein_coding","LGALS1","2","OTTHUMG00000150661.1",NA,"ENSG00000100097",NA
"HPS4","HAVANA","gene",NA,NA,"ENSG00000100099.16","protein_coding","HPS4","2","OTTHUMG00000030459.7",NA,"ENSG00000100099",NA
"PIK3IP1","HAVANA","gene",NA,NA,"ENSG00000100100.8","protein_coding","PIK3IP1","2","OTTHUMG00000151256.1",NA,"ENSG00000100100",NA
"TTC28","HAVANA","gene",NA,NA,"ENSG00000100154.10","protein_coding","TTC28","1","OTTHUMG00000151006.3","ncRNA_host","ENSG00000100154",NA
"KDELR3","HAVANA","gene",NA,NA,"ENSG00000100196.6","protein_coding","KDELR3","2","OTTHUMG00000153520.1",NA,"ENSG00000100196",NA
"TIMP3","HAVANA","gene",NA,NA,"ENSG00000100234.11","protein_coding","TIMP3","2","OTTHUMG00000030784.3",NA,"ENSG00000100234",NA
"BIK","HAVANA","gene",NA,NA,"ENSG00000100290.2","protein_coding","BIK","2","OTTHUMG00000150703.1",NA,"ENSG00000100290",NA
"HMOX1","HAVANA","gene",NA,NA,"ENSG00000100292.12","protein_coding","HMOX1","2","OTTHUMG00000150960.2",NA,"ENSG00000100292",NA
"PDGFB","HAVANA","gene",NA,NA,"ENSG00000100311.12","protein_coding","PDGFB","1","OTTHUMG00000151029.14",NA,"ENSG00000100311",NA
"RBFOX2","HAVANA","gene",NA,NA,"ENSG00000100320.18","protein_coding","RBFOX2","1","OTTHUMG00000150585.10",NA,"ENSG00000100320",NA
"MYH9","HAVANA","gene",NA,NA,"ENSG00000100345.16","protein_coding","MYH9","1","OTTHUMG00000030429.5","ncRNA_host","ENSG00000100345",NA
"GRAP2","HAVANA","gene",NA,NA,"ENSG00000100351.12","protein_coding","GRAP2","2","OTTHUMG00000151097.1",NA,"ENSG00000100351",NA
"PVALB","HAVANA","gene",NA,NA,"ENSG00000100362.8","protein_coding","PVALB","2","OTTHUMG00000150547.14",NA,"ENSG00000100362",NA
"CSF2RB","HAVANA","gene",NA,NA,"ENSG00000100368.9","protein_coding","CSF2RB","2","OTTHUMG00000150546.1",NA,"ENSG00000100368",NA
"IL2RB","HAVANA","gene",NA,NA,"ENSG00000100385.9","protein_coding","IL2RB","2","OTTHUMG00000150534.2",NA,"ENSG00000100385",NA
"GZMH","HAVANA","gene",NA,NA,"ENSG00000100450.8","protein_coding","GZMH","1","OTTHUMG00000140185.3",NA,"ENSG00000100450",NA
"GZMB","HAVANA","gene",NA,NA,"ENSG00000100453.8","protein_coding","GZMB","1","OTTHUMG00000029369.5",NA,"ENSG00000100453",NA
"CDKN3","HAVANA","gene",NA,NA,"ENSG00000100526.15","protein_coding","CDKN3","1","OTTHUMG00000140302.3",NA,"ENSG00000100526",NA
"AHSA1","HAVANA","gene",NA,NA,"ENSG00000100591.3","protein_coding","AHSA1","1","OTTHUMG00000171539.1","ncRNA_host","ENSG00000100591",NA
"HIF1A","HAVANA","gene",NA,NA,"ENSG00000100644.12","protein_coding","HIF1A","1","OTTHUMG00000140344.2",NA,"ENSG00000100644",NA
"TCL1A","HAVANA","gene",NA,NA,"ENSG00000100721.6","protein_coding","TCL1A","2","OTTHUMG00000171390.1",NA,"ENSG00000100721",NA
"BDKRB1","HAVANA","gene",NA,NA,"ENSG00000100739.6","protein_coding","BDKRB1","2","OTTHUMG00000171412.1",NA,"ENSG00000100739",NA
"RPS6KA5","HAVANA","gene",NA,NA,"ENSG00000100784.5","protein_coding","RPS6KA5","1","OTTHUMG00000171055.2",NA,"ENSG00000100784",NA
"APEX1","HAVANA","gene",NA,NA,"ENSG00000100823.7","protein_coding","APEX1","1","OTTHUMG00000029544.4",NA,"ENSG00000100823",NA
"DHRS2","HAVANA","gene",NA,NA,"ENSG00000100867.10","protein_coding","DHRS2","2","OTTHUMG00000028771.4",NA,"ENSG00000100867",NA
"NFKBIA","HAVANA","gene",NA,NA,"ENSG00000100906.6","protein_coding","NFKBIA","1","OTTHUMG00000140220.3",NA,"ENSG00000100906",NA
"NFATC4","HAVANA","gene",NA,NA,"ENSG00000100968.9","protein_coding","NFATC4","2","OTTHUMG00000029351.11",NA,"ENSG00000100968",NA
"PLTP","HAVANA","gene",NA,NA,"ENSG00000100979.10","protein_coding","PLTP","2","OTTHUMG00000033047.2",NA,"ENSG00000100979",NA
"MMP9","HAVANA","gene",NA,NA,"ENSG00000100985.7","protein_coding","MMP9","2","OTTHUMG00000033044.1",NA,"ENSG00000100985",NA
"GINS1","HAVANA","gene",NA,NA,"ENSG00000101003.8","protein_coding","GINS1","2","OTTHUMG00000032124.1",NA,"ENSG00000101003",NA
"CD40","HAVANA","gene",NA,NA,"ENSG00000101017.9","protein_coding","CD40","2","OTTHUMG00000033053.3",NA,"ENSG00000101017",NA
"HNF4A","HAVANA","gene",NA,NA,"ENSG00000101076.12","protein_coding","HNF4A","2","OTTHUMG00000032531.4","ncRNA_host","ENSG00000101076",NA
"SALL4","HAVANA","gene",NA,NA,"ENSG00000101115.8","protein_coding","SALL4","1","OTTHUMG00000032752.3",NA,"ENSG00000101115",NA
"BMP7","HAVANA","gene",NA,NA,"ENSG00000101144.8","protein_coding","BMP7","1","OTTHUMG00000032812.3",NA,"ENSG00000101144",NA
"CTSZ","HAVANA","gene",NA,NA,"ENSG00000101160.9","protein_coding","CTSZ","2","OTTHUMG00000032858.2",NA,"ENSG00000101160",NA
"NTSR1","HAVANA","gene",NA,NA,"ENSG00000101188.4","protein_coding","NTSR1","2","OTTHUMG00000032932.1",NA,"ENSG00000101188",NA
"SLC17A9","HAVANA","gene",NA,NA,"ENSG00000101194.13","protein_coding","SLC17A9","2","OTTHUMG00000032951.7",NA,"ENSG00000101194",NA
"BIRC7","HAVANA","gene",NA,NA,"ENSG00000101197.8","protein_coding","BIRC7","2","OTTHUMG00000032957.2","ncRNA_host","ENSG00000101197",NA
"AVP","HAVANA","gene",NA,NA,"ENSG00000101200.5","protein_coding","AVP","2","OTTHUMG00000031733.2",NA,"ENSG00000101200",NA
"ISM1","HAVANA","gene",NA,NA,"ENSG00000101230.5","protein_coding","ISM1","2","OTTHUMG00000031902.2",NA,"ENSG00000101230",NA
"RASSF2","HAVANA","gene",NA,NA,"ENSG00000101265.11","protein_coding","RASSF2","2","OTTHUMG00000031790.2",NA,"ENSG00000101265",NA
"MYL9","HAVANA","gene",NA,NA,"ENSG00000101335.5","protein_coding","MYL9","2","OTTHUMG00000032387.2",NA,"ENSG00000101335",NA
"SAMHD1","HAVANA","gene",NA,NA,"ENSG00000101347.7","protein_coding","SAMHD1","2","OTTHUMG00000032402.2",NA,"ENSG00000101347",NA
"JAG1","ENSEMBL","gene",NA,NA,"ENSG00000101384.7","protein_coding","JAG1","3",NA,NA,"ENSG00000101384",NA
"CST4","HAVANA","gene",NA,NA,"ENSG00000101441.4","protein_coding","CST4","2","OTTHUMG00000032083.2",NA,"ENSG00000101441",NA
"LIPG","HAVANA","gene",NA,NA,"ENSG00000101670.7","protein_coding","LIPG","1","OTTHUMG00000179658.2",NA,"ENSG00000101670",NA
"MXRA5","HAVANA","gene",NA,NA,"ENSG00000101825.7","protein_coding","MXRA5","2","OTTHUMG00000021083.2",NA,"ENSG00000101825",NA
"ATG4A","HAVANA","gene",NA,NA,"ENSG00000101844.13","protein_coding","ATG4A","2","OTTHUMG00000022176.7",NA,"ENSG00000101844",NA
"GPR143","HAVANA","gene",NA,NA,"ENSG00000101850.8","protein_coding","GPR143","2","OTTHUMG00000021118.2",NA,"ENSG00000101850",NA
"STAG2","HAVANA","gene",NA,NA,"ENSG00000101972.14","protein_coding","STAG2","2","OTTHUMG00000022725.12","ncRNA_host","ENSG00000101972",NA
"ABCD1","HAVANA","gene",NA,NA,"ENSG00000101986.8","protein_coding","ABCD1","2","OTTHUMG00000024215.2",NA,"ENSG00000101986",NA
"PCSK1N","HAVANA","gene",NA,NA,"ENSG00000102109.7","protein_coding","PCSK1N","2","OTTHUMG00000034502.1",NA,"ENSG00000102109",NA
"PGK1","HAVANA","gene",NA,NA,"ENSG00000102144.9","protein_coding","PGK1","2","OTTHUMG00000021888.1",NA,"ENSG00000102144",NA
"CD99L2","HAVANA","gene",NA,NA,"ENSG00000102181.15","protein_coding","CD99L2","2","OTTHUMG00000024247.3",NA,"ENSG00000102181",NA
"CD40LG","HAVANA","gene",NA,NA,"ENSG00000102245.3","protein_coding","CD40LG","2","OTTHUMG00000022512.1",NA,"ENSG00000102245",NA
"TIMP1","HAVANA","gene",NA,NA,"ENSG00000102265.7","protein_coding","TIMP1","2","OTTHUMG00000021447.1",NA,"ENSG00000102265",NA
"FGF14","HAVANA","gene",NA,NA,"ENSG00000102466.11","protein_coding","FGF14","2","OTTHUMG00000017303.5","ncRNA_host","ENSG00000102466",NA
"KLF5","HAVANA","gene",NA,NA,"ENSG00000102554.9","protein_coding","KLF5","2","OTTHUMG00000017074.1",NA,"ENSG00000102554",NA
"ACP5","HAVANA","gene",NA,NA,"ENSG00000102575.6","protein_coding","ACP5","2","OTTHUMG00000182036.1",NA,"ENSG00000102575",NA
"FGF9","HAVANA","gene",NA,NA,"ENSG00000102678.6","protein_coding","FGF9","2","OTTHUMG00000017412.2",NA,"ENSG00000102678",NA
"FLT1","HAVANA","gene",NA,NA,"ENSG00000102755.6","protein_coding","FLT1","2","OTTHUMG00000016648.1",NA,"ENSG00000102755",NA
"MEDAG","HAVANA","gene",NA,NA,"ENSG00000102802.5","protein_coding","MEDAG","2","OTTHUMG00000016679.1",NA,"ENSG00000102802",NA
"MSLN","HAVANA","gene",NA,NA,"ENSG00000102854.10","protein_coding","MSLN","2","OTTHUMG00000047992.3",NA,"ENSG00000102854",NA
"ZNF423","HAVANA","gene",NA,NA,"ENSG00000102935.7","protein_coding","ZNF423","2","OTTHUMG00000173491.2",NA,"ENSG00000102935",NA
"MLYCD","HAVANA","gene",NA,NA,"ENSG00000103150.4","protein_coding","MLYCD","2","OTTHUMG00000176654.1",NA,"ENSG00000103150",NA
"COTL1","HAVANA","gene",NA,NA,"ENSG00000103187.6","protein_coding","COTL1","2","OTTHUMG00000137634.3",NA,"ENSG00000103187",NA
"CRISPLD2","HAVANA","gene",NA,NA,"ENSG00000103196.7","protein_coding","CRISPLD2","1","OTTHUMG00000137644.3","ncRNA_host","ENSG00000103196",NA
"SLC7A5","HAVANA","gene",NA,NA,"ENSG00000103257.4","protein_coding","SLC7A5","2","OTTHUMG00000137658.3",NA,"ENSG00000103257",NA
"MEFV","HAVANA","gene",NA,NA,"ENSG00000103313.7","protein_coding","MEFV","1","OTTHUMG00000129324.7",NA,"ENSG00000103313",NA
"CPPED1","HAVANA","gene",NA,NA,"ENSG00000103381.7","protein_coding","CPPED1","2","OTTHUMG00000167711.2",NA,"ENSG00000103381",NA
"SYT17","HAVANA","gene",NA,NA,"ENSG00000103528.12","protein_coding","SYT17","1","OTTHUMG00000131461.3",NA,"ENSG00000103528",NA
"AQP9","HAVANA","gene",NA,NA,"ENSG00000103569.5","protein_coding","AQP9","1","OTTHUMG00000132631.2",NA,"ENSG00000103569",NA
"CSK","HAVANA","gene",NA,NA,"ENSG00000103653.12","protein_coding","CSK","2","OTTHUMG00000142814.4",NA,"ENSG00000103653",NA
"OCA2","HAVANA","gene",NA,NA,"ENSG00000104044.11","protein_coding","OCA2","1","OTTHUMG00000128871.2",NA,"ENSG00000104044",NA
"OIP5","HAVANA","gene",NA,NA,"ENSG00000104147.4","protein_coding","OIP5","2","OTTHUMG00000130251.3",NA,"ENSG00000104147",NA
"PDGFRL","HAVANA","gene",NA,NA,"ENSG00000104213.8","protein_coding","PDGFRL","1","OTTHUMG00000130818.4",NA,"ENSG00000104213",NA
"RP1","HAVANA","gene",NA,NA,"ENSG00000104237.6","protein_coding","RP1","2","OTTHUMG00000164379.3",NA,"ENSG00000104237",NA
"CA2","HAVANA","gene",NA,NA,"ENSG00000104267.5","protein_coding","CA2","2","OTTHUMG00000164944.2",NA,"ENSG00000104267",NA
"RIPK2","HAVANA","gene",NA,NA,"ENSG00000104312.6","protein_coding","RIPK2","2","OTTHUMG00000163809.2",NA,"ENSG00000104312",NA
"DECR1","HAVANA","gene",NA,NA,"ENSG00000104325.2","protein_coding","DECR1","1","OTTHUMG00000163829.2",NA,"ENSG00000104325",NA
"PLAT","HAVANA","gene",NA,NA,"ENSG00000104368.13","protein_coding","PLAT","1","OTTHUMG00000164072.1",NA,"ENSG00000104368",NA
"DKK4","HAVANA","gene",NA,NA,"ENSG00000104371.4","protein_coding","DKK4","2","OTTHUMG00000164167.1",NA,"ENSG00000104371",NA
"GDAP1","HAVANA","gene",NA,NA,"ENSG00000104381.8","protein_coding","GDAP1","2","OTTHUMG00000164509.1","ncRNA_host","ENSG00000104381",NA
"SQLE","HAVANA","gene",NA,NA,"ENSG00000104549.7","protein_coding","SQLE","2","OTTHUMG00000164990.1",NA,"ENSG00000104549",NA
"ERI1","HAVANA","gene",NA,NA,"ENSG00000104626.10","protein_coding","ERI1","2","OTTHUMG00000129328.4","ncRNA_host","ENSG00000104626",NA
"MCM4","HAVANA","gene",NA,NA,"ENSG00000104738.12","protein_coding","MCM4","1","OTTHUMG00000164205.3",NA,"ENSG00000104738",NA
"ASAH1","HAVANA","gene",NA,NA,"ENSG00000104763.13","protein_coding","ASAH1","2","OTTHUMG00000096997.6",NA,"ENSG00000104763",NA
"BNIP3L","HAVANA","gene",NA,NA,"ENSG00000104765.10","protein_coding","BNIP3L","1","OTTHUMG00000099433.3",NA,"ENSG00000104765",NA
"KCNN4","HAVANA","gene",NA,NA,"ENSG00000104783.7","protein_coding","KCNN4","2","OTTHUMG00000182779.1",NA,"ENSG00000104783",NA
"TULP2","HAVANA","gene",NA,NA,"ENSG00000104804.3","protein_coding","TULP2","1","OTTHUMG00000164406.1",NA,"ENSG00000104804",NA
"MAP4K1","HAVANA","gene",NA,NA,"ENSG00000104814.8","protein_coding","MAP4K1","2","OTTHUMG00000180863.1",NA,"ENSG00000104814",NA
